GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ClaimFlow,com.claimflow,ClaimFlowApplication,5,3,0,0,2,1,1,1,1,1
ClaimFlow,com.claimflow.domain,ClaimType,0,21,0,0,0,1,0,1,0,1
ClaimFlow,com.claimflow.domain,VerificationStatus,0,21,0,0,0,1,0,1,0,1
ClaimFlow,com.claimflow.domain,Claim,36,313,9,30,3,35,9,41,0,30
ClaimFlow,com.claimflow.domain,Decision,0,21,0,0,0,1,0,1,0,1
ClaimFlow,com.claimflow.domain,AuditEvent,5,42,0,0,1,4,1,8,1,8
ClaimFlow,com.claimflow.domain,Settlement,5,45,0,0,1,4,1,8,1,8
ClaimFlow,com.claimflow.domain,Policy,13,34,3,3,4,7,7,7,4,7
ClaimFlow,com.claimflow.domain,ClaimStatus,0,69,0,0,0,3,0,1,0,1
ClaimFlow,com.claimflow.api,ReopenRequest,0,6,0,0,0,1,0,1,0,1
ClaimFlow,com.claimflow.api,ClaimResponse,0,105,0,0,0,5,0,2,0,2
ClaimFlow,com.claimflow.api,DashboardResponse,15,0,0,0,1,0,1,0,1,0
ClaimFlow,com.claimflow.api,AdminController,23,6,0,0,4,1,4,1,4,1
ClaimFlow,com.claimflow.api,ApiExceptionHandler,12,45,1,1,1,4,2,4,1,4
ClaimFlow,com.claimflow.api,ClaimController,18,39,0,0,1,4,2,5,2,5
ClaimFlow,com.claimflow.api,ClaimRequest,2,26,1,1,0,1,1,1,0,1
ClaimFlow,com.claimflow.api,OverrideRequest,9,0,0,0,1,0,1,0,1,0
ClaimFlow,com.claimflow.config,SecurityConfig,0,113,0,0,0,14,0,6,0,6
ClaimFlow,com.claimflow.config,CorsConfig,0,36,0,0,0,3,0,2,0,2
ClaimFlow,com.claimflow.service,ClaimService,178,345,11,16,13,35,16,17,8,11
ClaimFlow,com.claimflow.service,ClaimRules,14,112,9,12,2,19,9,7,0,5
